batsman_runs
280
4
53
25
4
62
152
15
35
368
34
19
41
2
974
4
4
5
69
12
217
9
179
42
26
123
4428
120
2069
20
181
79
724
91
1445
7
10
49
1744
94
401
672
3850
36
7
34
87
339
12
806
18
194
1011
3326
39
0
63
164
7
37
4
388
76
280
190
5
124
5
35
6
647
3
2893
125
11
240
1
18
1400
193
23
40
32
187
187
15
180
0
313
21
1308
390
4560
520
538
98
3
8
16
8
971
169
188
63
4
3
33
16
123
127
10
1875
4741
12
304
375
21
170
1498
111
535
1322
92
1
39
295
73
121
6
11
4
1
1808
19
2385
101
18
448
13
166
464
854
24
14
1874
4
183
4223
22
739
4
280
663
1403
15
446
22
2
1
68
4
6
886
1118
577
108
834
18
20
7
55
10
0
1150
76
20
88
711
85
23
468
409
0
8
54
29
10
6
975
1431
604
55
106
42
3
327
2427
37
186
18
26
38
2041
527
417
8
36
0
218
148
22
70
12
2784
10
51
24
1687
3688
915
13
116
1470
2013
1091
5
2
1001
1319
317
36
128
3
12
46
0
36
72
1
34
81
302
1
106
1079
40
405
1017
311
4
259
113
73
28
514
31
126
20
11
55
35
12
2590
1016
3
1
1276
24
96
969
125
237
14
1977
177
168
98
271
278
91
2872
1697
1107
39
124
161
167
482
225
798
4477
99
22
394
1547
2
117
2
3
64
146
54
34
1
8
177
1104
143
0
20
1
26
424
52
23
1555
121
506
5
8
127
1
340
366
1
20
0
19
616
2874
164
505
203
77
25
1
587
16
92
6
18
7
17
1489
382
342
8
19
153
2174
159
3
169
51
5
270
66
19
73
119
311
1951
771
15
83
159
2
4914
117
32
103
326
52
0
1792
67
20
53
73
531
2
4
91
50
4446
109
136
59
13
1441
25
95
4632
40
517
131
93
12
0
0
0
13
32
37
91
2
82
8
17
368
34
31
3
145
15
423
608
49
28
6
131
2
1349
99
15
1
2489
5
5415
42
198
88
9
241
147
10
416
36
196
301
38
803
2047
2334
3614
1714
6
1276
768
882
2235
338
23
137
193
26
81
759
5
1
2
52
36
0
43
12
24
11
11
31
12
12
10
115
676
1153
205
8
75
8
0
7
300
127
127
39
5434
0
2728
574
29
49
4
7
2
282
15
19
130
56
63
1780
81
79
10
19
285
985
0
3241
22
192
47
3
2765
117
